item_id,skill_id,stem,choice_a,choice_b,choice_c,choice_d,correct_choice,difficulty
Q005-1,SK005,Which answer best reflects understand author's tone?,The passage focuses on a minor detail in paragraph four.,The passage argues that urban gardens improve community health.,The passage is primarily a biography of one scientist.,The passage rejects all scientific methods.,B,easy
Q005-2,SK005,"Based on the text, which inference aligns with understand author's tone?",The author distrusts all new technology.,The author implies that policy change requires public pressure.,The author believes history is irrelevant.,The author refuses to take a position.,B,medium
Q005-3,SK005,Which statement demonstrates understand author's tone?,The author describes a setting without purpose.,The author uses a counterexample to qualify a general claim.,The author lists random dates.,The author copies a dictionary definition.,B,hard
Q006-1,SK006,Which answer best reflects track argument development?,The passage focuses on a minor detail in paragraph four.,The passage argues that urban gardens improve community health.,The passage is primarily a biography of one scientist.,The passage rejects all scientific methods.,B,easy
Q006-2,SK006,"Based on the text, which inference aligns with track argument development?",The author distrusts all new technology.,The author implies that policy change requires public pressure.,The author believes history is irrelevant.,The author refuses to take a position.,B,medium
Q006-3,SK006,Which statement demonstrates track argument development?,The author describes a setting without purpose.,The author uses a counterexample to qualify a general claim.,The author lists random dates.,The author copies a dictionary definition.,B,hard
Q007-1,SK007,Which answer best reflects compare viewpoints within passage?,The passage focuses on a minor detail in paragraph four.,The passage argues that urban gardens improve community health.,The passage is primarily a biography of one scientist.,The passage rejects all scientific methods.,B,easy
Q007-2,SK007,"Based on the text, which inference aligns with compare viewpoints within passage?",The author distrusts all new technology.,The author implies that policy change requires public pressure.,The author believes history is irrelevant.,The author refuses to take a position.,B,medium
Q007-3,SK007,Which statement demonstrates compare viewpoints within passage?,The author describes a setting without purpose.,The author uses a counterexample to qualify a general claim.,The author lists random dates.,The author copies a dictionary definition.,B,hard
Q008-1,SK008,Which answer best reflects draw logical inferences?,The passage focuses on a minor detail in paragraph four.,The passage argues that urban gardens improve community health.,The passage is primarily a biography of one scientist.,The passage rejects all scientific methods.,B,easy
Q008-2,SK008,"Based on the text, which inference aligns with draw logical inferences?",The author distrusts all new technology.,The author implies that policy change requires public pressure.,The author believes history is irrelevant.,The author refuses to take a position.,B,medium
Q008-3,SK008,Which statement demonstrates draw logical inferences?,The author describes a setting without purpose.,The author uses a counterexample to qualify a general claim.,The author lists random dates.,The author copies a dictionary definition.,B,hard
Q009-1,SK009,Which answer best reflects resolve conflicting information?,The passage focuses on a minor detail in paragraph four.,The passage argues that urban gardens improve community health.,The passage is primarily a biography of one scientist.,The passage rejects all scientific methods.,B,easy
Q009-2,SK009,"Based on the text, which inference aligns with resolve conflicting information?",The author distrusts all new technology.,The author implies that policy change requires public pressure.,The author believes history is irrelevant.,The author refuses to take a position.,B,medium
Q009-3,SK009,Which statement demonstrates resolve conflicting information?,The author describes a setting without purpose.,The author uses a counterexample to qualify a general claim.,The author lists random dates.,The author copies a dictionary definition.,B,hard
Q010-1,SK010,Which answer best reflects predict author response?,The passage focuses on a minor detail in paragraph four.,The passage argues that urban gardens improve community health.,The passage is primarily a biography of one scientist.,The passage rejects all scientific methods.,B,easy
Q010-2,SK010,"Based on the text, which inference aligns with predict author response?",The author distrusts all new technology.,The author implies that policy change requires public pressure.,The author believes history is irrelevant.,The author refuses to take a position.,B,medium
Q010-3,SK010,Which statement demonstrates predict author response?,The author describes a setting without purpose.,The author uses a counterexample to qualify a general claim.,The author lists random dates.,The author copies a dictionary definition.,B,hard
Q011-1,SK011,Which answer best reflects interpret figurative language?,The passage focuses on a minor detail in paragraph four.,The passage argues that urban gardens improve community health.,The passage is primarily a biography of one scientist.,The passage rejects all scientific methods.,B,easy
Q011-2,SK011,"Based on the text, which inference aligns with interpret figurative language?",The author distrusts all new technology.,The author implies that policy change requires public pressure.,The author believes history is irrelevant.,The author refuses to take a position.,B,medium
Q011-3,SK011,Which statement demonstrates interpret figurative language?,The author describes a setting without purpose.,The author uses a counterexample to qualify a general claim.,The author lists random dates.,The author copies a dictionary definition.,B,hard
Q012-1,SK012,Which answer best reflects analyze cause and effect?,The passage focuses on a minor detail in paragraph four.,The passage argues that urban gardens improve community health.,The passage is primarily a biography of one scientist.,The passage rejects all scientific methods.,B,easy
Q012-2,SK012,"Based on the text, which inference aligns with analyze cause and effect?",The author distrusts all new technology.,The author implies that policy change requires public pressure.,The author believes history is irrelevant.,The author refuses to take a position.,B,medium
Q012-3,SK012,Which statement demonstrates analyze cause and effect?,The author describes a setting without purpose.,The author uses a counterexample to qualify a general claim.,The author lists random dates.,The author copies a dictionary definition.,B,hard
Q013-1,SK013,Which answer best reflects evaluate argument strength?,The passage focuses on a minor detail in paragraph four.,The passage argues that urban gardens improve community health.,The passage is primarily a biography of one scientist.,The passage rejects all scientific methods.,B,easy
Q013-2,SK013,"Based on the text, which inference aligns with evaluate argument strength?",The author distrusts all new technology.,The author implies that policy change requires public pressure.,The author believes history is irrelevant.,The author refuses to take a position.,B,medium
Q013-3,SK013,Which statement demonstrates evaluate argument strength?,The author describes a setting without purpose.,The author uses a counterexample to qualify a general claim.,The author lists random dates.,The author copies a dictionary definition.,B,hard
Q014-1,SK014,Which answer best reflects synthesize multi-paragraph ideas?,The passage focuses on a minor detail in paragraph four.,The passage argues that urban gardens improve community health.,The passage is primarily a biography of one scientist.,The passage rejects all scientific methods.,B,easy
Q014-2,SK014,"Based on the text, which inference aligns with synthesize multi-paragraph ideas?",The author distrusts all new technology.,The author implies that policy change requires public pressure.,The author believes history is irrelevant.,The author refuses to take a position.,B,medium
Q014-3,SK014,Which statement demonstrates synthesize multi-paragraph ideas?,The author describes a setting without purpose.,The author uses a counterexample to qualify a general claim.,The author lists random dates.,The author copies a dictionary definition.,B,hard
Q015-1,SK015,Which answer best reflects identify assumptions?,The passage focuses on a minor detail in paragraph four.,The passage argues that urban gardens improve community health.,The passage is primarily a biography of one scientist.,The passage rejects all scientific methods.,B,easy
Q015-2,SK015,"Based on the text, which inference aligns with identify assumptions?",The author distrusts all new technology.,The author implies that policy change requires public pressure.,The author believes history is irrelevant.,The author refuses to take a position.,B,medium
Q015-3,SK015,Which statement demonstrates identify assumptions?,The author describes a setting without purpose.,The author uses a counterexample to qualify a general claim.,The author lists random dates.,The author copies a dictionary definition.,B,hard
Q016-1,SK016,Which answer best reflects analyze chronological structure?,The passage focuses on a minor detail in paragraph four.,The passage argues that urban gardens improve community health.,The passage is primarily a biography of one scientist.,The passage rejects all scientific methods.,B,easy
Q016-2,SK016,"Based on the text, which inference aligns with analyze chronological structure?",The author distrusts all new technology.,The author implies that policy change requires public pressure.,The author believes history is irrelevant.,The author refuses to take a position.,B,medium
Q016-3,SK016,Which statement demonstrates analyze chronological structure?,The author describes a setting without purpose.,The author uses a counterexample to qualify a general claim.,The author lists random dates.,The author copies a dictionary definition.,B,hard
Q017-1,SK017,Which answer best reflects evaluate counterarguments?,The passage focuses on a minor detail in paragraph four.,The passage argues that urban gardens improve community health.,The passage is primarily a biography of one scientist.,The passage rejects all scientific methods.,B,easy
Q017-2,SK017,"Based on the text, which inference aligns with evaluate counterarguments?",The author distrusts all new technology.,The author implies that policy change requires public pressure.,The author believes history is irrelevant.,The author refuses to take a position.,B,medium
Q017-3,SK017,Which statement demonstrates evaluate counterarguments?,The author describes a setting without purpose.,The author uses a counterexample to qualify a general claim.,The author lists random dates.,The author copies a dictionary definition.,B,hard
Q018-1,SK018,Which answer best reflects integrate complex passage themes?,The passage focuses on a minor detail in paragraph four.,The passage argues that urban gardens improve community health.,The passage is primarily a biography of one scientist.,The passage rejects all scientific methods.,B,easy
Q018-2,SK018,"Based on the text, which inference aligns with integrate complex passage themes?",The author distrusts all new technology.,The author implies that policy change requires public pressure.,The author believes history is irrelevant.,The author refuses to take a position.,B,medium
Q018-3,SK018,Which statement demonstrates integrate complex passage themes?,The author describes a setting without purpose.,The author uses a counterexample to qualify a general claim.,The author lists random dates.,The author copies a dictionary definition.,B,hard
Q019-1,SK019,Which line best supports the claim for identify textual evidence?,The experiment failed immediately.,Results showed a 40% increase in retention.,Scientists enjoy collaborative work.,The lab opened in 1998.,B,easy
Q019-2,SK019,"For identify textual evidence, which evidence is most relevant to the author's argument?",A personal anecdote about childhood,A cited study with sample size and methodology,An unrelated historical date,A rhetorical question,B,medium
Q019-3,SK019,Which choice best demonstrates identify textual evidence?,The data contradicts the headline claim.,The passage uses colorful metaphors.,The author mentions a fictional character.,The title includes a pun.,A,hard
Q020-1,SK020,Which line best supports the claim for match evidence to claim?,The experiment failed immediately.,Results showed a 40% increase in retention.,Scientists enjoy collaborative work.,The lab opened in 1998.,B,easy
Q020-2,SK020,"For match evidence to claim, which evidence is most relevant to the author's argument?",A personal anecdote about childhood,A cited study with sample size and methodology,An unrelated historical date,A rhetorical question,B,medium
Q020-3,SK020,Which choice best demonstrates match evidence to claim?,The data contradicts the headline claim.,The passage uses colorful metaphors.,The author mentions a fictional character.,The title includes a pun.,A,hard
Q021-1,SK021,Which line best supports the claim for evaluate evidence relevance?,The experiment failed immediately.,Results showed a 40% increase in retention.,Scientists enjoy collaborative work.,The lab opened in 1998.,B,easy
Q021-2,SK021,"For evaluate evidence relevance, which evidence is most relevant to the author's argument?",A personal anecdote about childhood,A cited study with sample size and methodology,An unrelated historical date,A rhetorical question,B,medium
Q021-3,SK021,Which choice best demonstrates evaluate evidence relevance?,The data contradicts the headline claim.,The passage uses colorful metaphors.,The author mentions a fictional character.,The title includes a pun.,A,hard
Q022-1,SK022,Which line best supports the claim for command of evidence (textual)?,The experiment failed immediately.,Results showed a 40% increase in retention.,Scientists enjoy collaborative work.,The lab opened in 1998.,B,easy
Q022-2,SK022,"For command of evidence (textual), which evidence is most relevant to the author's argument?",A personal anecdote about childhood,A cited study with sample size and methodology,An unrelated historical date,A rhetorical question,B,medium
Q022-3,SK022,Which choice best demonstrates command of evidence (textual)?,The data contradicts the headline claim.,The passage uses colorful metaphors.,The author mentions a fictional character.,The title includes a pun.,A,hard
Q023-1,SK023,Which line best supports the claim for compare quantitative and textual data?,The experiment failed immediately.,Results showed a 40% increase in retention.,Scientists enjoy collaborative work.,The lab opened in 1998.,B,easy
Q023-2,SK023,"For compare quantitative and textual data, which evidence is most relevant to the author's argument?",A personal anecdote about childhood,A cited study with sample size and methodology,An unrelated historical date,A rhetorical question,B,medium
Q023-3,SK023,Which choice best demonstrates compare quantitative and textual data?,The data contradicts the headline claim.,The passage uses colorful metaphors.,The author mentions a fictional character.,The title includes a pun.,A,hard
Q024-1,SK024,Which line best supports the claim for interpret charts in context?,The experiment failed immediately.,Results showed a 40% increase in retention.,Scientists enjoy collaborative work.,The lab opened in 1998.,B,easy
Q024-2,SK024,"For interpret charts in context, which evidence is most relevant to the author's argument?",A personal anecdote about childhood,A cited study with sample size and methodology,An unrelated historical date,A rhetorical question,B,medium
Q024-3,SK024,Which choice best demonstrates interpret charts in context?,The data contradicts the headline claim.,The passage uses colorful metaphors.,The author mentions a fictional character.,The title includes a pun.,A,hard
Q025-1,SK025,Which line best supports the claim for evaluate data support for claims?,The experiment failed immediately.,Results showed a 40% increase in retention.,Scientists enjoy collaborative work.,The lab opened in 1998.,B,easy
Q025-2,SK025,"For evaluate data support for claims, which evidence is most relevant to the author's argument?",A personal anecdote about childhood,A cited study with sample size and methodology,An unrelated historical date,A rhetorical question,B,medium
Q025-3,SK025,Which choice best demonstrates evaluate data support for claims?,The data contradicts the headline claim.,The passage uses colorful metaphors.,The author mentions a fictional character.,The title includes a pun.,A,hard
Q026-1,SK026,Which line best supports the claim for identify evidence gaps?,The experiment failed immediately.,Results showed a 40% increase in retention.,Scientists enjoy collaborative work.,The lab opened in 1998.,B,easy
Q026-2,SK026,"For identify evidence gaps, which evidence is most relevant to the author's argument?",A personal anecdote about childhood,A cited study with sample size and methodology,An unrelated historical date,A rhetorical question,B,medium
Q026-3,SK026,Which choice best demonstrates identify evidence gaps?,The data contradicts the headline claim.,The passage uses colorful metaphors.,The author mentions a fictional character.,The title includes a pun.,A,hard
Q027-1,SK027,Which line best supports the claim for strengthen arguments with evidence?,The experiment failed immediately.,Results showed a 40% increase in retention.,Scientists enjoy collaborative work.,The lab opened in 1998.,B,easy
Q027-2,SK027,"For strengthen arguments with evidence, which evidence is most relevant to the author's argument?",A personal anecdote about childhood,A cited study with sample size and methodology,An unrelated historical date,A rhetorical question,B,medium
Q027-3,SK027,Which choice best demonstrates strengthen arguments with evidence?,The data contradicts the headline claim.,The passage uses colorful metaphors.,The author mentions a fictional character.,The title includes a pun.,A,hard
Q028-1,SK028,Which line best supports the claim for weaken arguments via counterevidence?,The experiment failed immediately.,Results showed a 40% increase in retention.,Scientists enjoy collaborative work.,The lab opened in 1998.,B,easy
Q028-2,SK028,"For weaken arguments via counterevidence, which evidence is most relevant to the author's argument?",A personal anecdote about childhood,A cited study with sample size and methodology,An unrelated historical date,A rhetorical question,B,medium
Q028-3,SK028,Which choice best demonstrates weaken arguments via counterevidence?,The data contradicts the headline claim.,The passage uses colorful metaphors.,The author mentions a fictional character.,The title includes a pun.,A,hard
Q029-1,SK029,Which line best supports the claim for synthesize cross-source evidence?,The experiment failed immediately.,Results showed a 40% increase in retention.,Scientists enjoy collaborative work.,The lab opened in 1998.,B,easy
Q029-2,SK029,"For synthesize cross-source evidence, which evidence is most relevant to the author's argument?",A personal anecdote about childhood,A cited study with sample size and methodology,An unrelated historical date,A rhetorical question,B,medium
Q029-3,SK029,Which choice best demonstrates synthesize cross-source evidence?,The data contradicts the headline claim.,The passage uses colorful metaphors.,The author mentions a fictional character.,The title includes a pun.,A,hard
Q030-1,SK030,Which line best supports the claim for evaluate statistical claims in passages?,The experiment failed immediately.,Results showed a 40% increase in retention.,Scientists enjoy collaborative work.,The lab opened in 1998.,B,easy
Q030-2,SK030,"For evaluate statistical claims in passages, which evidence is most relevant to the author's argument?",A personal anecdote about childhood,A cited study with sample size and methodology,An unrelated historical date,A rhetorical question,B,medium
Q030-3,SK030,Which choice best demonstrates evaluate statistical claims in passages?,The data contradicts the headline claim.,The passage uses colorful metaphors.,The author mentions a fictional character.,The title includes a pun.,A,hard
Q031-1,SK031,"Which revision best fixes the subject-verb agreement error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q031-2,SK031,Select the sentence that demonstrates correct subject-verb agreement.,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q031-3,SK031,Which option corrects the issue related to subject-verb agreement?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q032-1,SK032,"Which revision best fixes the pronoun-antecedent agreement error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q032-2,SK032,Select the sentence that demonstrates correct pronoun-antecedent agreement.,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q032-3,SK032,Which option corrects the issue related to pronoun-antecedent agreement?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q033-1,SK033,"Which revision best fixes the verb tense consistency error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q033-2,SK033,Select the sentence that demonstrates correct verb tense consistency.,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q033-3,SK033,Which option corrects the issue related to verb tense consistency?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q034-1,SK034,"Which revision best fixes the sentence boundaries (fragments/run-ons) error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q034-2,SK034,Select the sentence that demonstrates correct sentence boundaries (fragments/run-ons).,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q034-3,SK034,Which option corrects the issue related to sentence boundaries (fragments/run-ons)?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q035-1,SK035,"Which revision best fixes the comma usage with clauses error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q035-2,SK035,Select the sentence that demonstrates correct comma usage with clauses.,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q035-3,SK035,Which option corrects the issue related to comma usage with clauses?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q036-1,SK036,"Which revision best fixes the apostrophe and possessives error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q036-2,SK036,Select the sentence that demonstrates correct apostrophe and possessives.,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q036-3,SK036,Which option corrects the issue related to apostrophe and possessives?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q037-1,SK037,"Which revision best fixes the modifier placement error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q037-2,SK037,Select the sentence that demonstrates correct modifier placement.,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q037-3,SK037,Which option corrects the issue related to modifier placement?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q038-1,SK038,"Which revision best fixes the parallel structure error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q038-2,SK038,Select the sentence that demonstrates correct parallel structure.,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q038-3,SK038,Which option corrects the issue related to parallel structure?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q039-1,SK039,"Which revision best fixes the punctuation with introductory elements error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q039-2,SK039,Select the sentence that demonstrates correct punctuation with introductory elements.,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q039-3,SK039,Which option corrects the issue related to punctuation with introductory elements?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q040-1,SK040,"Which revision best fixes the semicolon and colon usage error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q040-2,SK040,Select the sentence that demonstrates correct semicolon and colon usage.,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q040-3,SK040,Which option corrects the issue related to semicolon and colon usage?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q041-1,SK041,"Which revision best fixes the dangling and misplaced modifiers error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q041-2,SK041,Select the sentence that demonstrates correct dangling and misplaced modifiers.,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q041-3,SK041,Which option corrects the issue related to dangling and misplaced modifiers?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q042-1,SK042,"Which revision best fixes the idiom and preposition usage error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q042-2,SK042,Select the sentence that demonstrates correct idiom and preposition usage.,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q042-3,SK042,Which option corrects the issue related to idiom and preposition usage?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q043-1,SK043,"Which revision best fixes the comparative and superlative forms error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q043-2,SK043,Select the sentence that demonstrates correct comparative and superlative forms.,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q043-3,SK043,Which option corrects the issue related to comparative and superlative forms?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q044-1,SK044,"Which revision best fixes the subjunctive mood error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q044-2,SK044,Select the sentence that demonstrates correct subjunctive mood.,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q044-3,SK044,Which option corrects the issue related to subjunctive mood?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q045-1,SK045,"Which revision best fixes the complex sentence revision error? ""The team of researchers were publishing their findings.""",The team of researchers were publishing,The team of researchers was publishing,The team of researchers are publishing,The team of researchers have been publishing,B,easy
Q045-2,SK045,Select the sentence that demonstrates correct complex sentence revision.,Neither the students nor the teacher were ready.,Neither the students nor the teacher was ready.,Neither the students or the teacher was ready.,Neither the students nor the teacher is ready.,B,medium
Q045-3,SK045,Which option corrects the issue related to complex sentence revision?,"Running quickly, the finish line approached.","Running quickly, she approached the finish line.","Running quickly, the finish line was approached.","Running quickly, approaching the finish line.",B,hard
Q046-1,SK046,"In context, ""words in context (basic)"" — the word ""scrupulous"" most nearly means:",careless,meticulous,hostile,ambiguous,B,easy
Q046-2,SK046,"Which word best completes the sentence for words in context (basic)? ""The author's ___ word choice conveyed skepticism.""",neutral,derisive,literal,redundant,B,medium
Q046-3,SK046,Which synonym best fits words in context (basic) in an academic passage?,trivial,nuanced,obsolete,uniform,B,hard
Q047-1,SK047,"In context, ""determine word meaning from context"" — the word ""scrupulous"" most nearly means:",careless,meticulous,hostile,ambiguous,B,easy
Q047-2,SK047,"Which word best completes the sentence for determine word meaning from context? ""The author's ___ word choice conveyed skepticism.""",neutral,derisive,literal,redundant,B,medium
Q047-3,SK047,Which synonym best fits determine word meaning from context in an academic passage?,trivial,nuanced,obsolete,uniform,B,hard
Q048-1,SK048,"In context, ""distinguish denotation and connotation"" — the word ""scrupulous"" most nearly means:",careless,meticulous,hostile,ambiguous,B,easy
Q048-2,SK048,"Which word best completes the sentence for distinguish denotation and connotation? ""The author's ___ word choice conveyed skepticism.""",neutral,derisive,literal,redundant,B,medium
Q048-3,SK048,Which synonym best fits distinguish denotation and connotation in an academic passage?,trivial,nuanced,obsolete,uniform,B,hard
Q049-1,SK049,"In context, ""analyze word choice effects"" — the word ""scrupulous"" most nearly means:",careless,meticulous,hostile,ambiguous,B,easy
Q049-2,SK049,"Which word best completes the sentence for analyze word choice effects? ""The author's ___ word choice conveyed skepticism.""",neutral,derisive,literal,redundant,B,medium
Q049-3,SK049,Which synonym best fits analyze word choice effects in an academic passage?,trivial,nuanced,obsolete,uniform,B,hard
Q050-1,SK050,"In context, ""precision in word selection"" — the word ""scrupulous"" most nearly means:",careless,meticulous,hostile,ambiguous,B,easy
Q050-2,SK050,"Which word best completes the sentence for precision in word selection? ""The author's ___ word choice conveyed skepticism.""",neutral,derisive,literal,redundant,B,medium
Q050-3,SK050,Which synonym best fits precision in word selection in an academic passage?,trivial,nuanced,obsolete,uniform,B,hard
Q051-1,SK051,"In context, ""domain-specific vocabulary"" — the word ""scrupulous"" most nearly means:",careless,meticulous,hostile,ambiguous,B,easy
Q051-2,SK051,"Which word best completes the sentence for domain-specific vocabulary? ""The author's ___ word choice conveyed skepticism.""",neutral,derisive,literal,redundant,B,medium
Q051-3,SK051,Which synonym best fits domain-specific vocabulary in an academic passage?,trivial,nuanced,obsolete,uniform,B,hard
Q052-1,SK052,"In context, ""multiple-meaning words"" — the word ""scrupulous"" most nearly means:",careless,meticulous,hostile,ambiguous,B,easy
