rank,skill_id,skill_name,category,level,predicted_mastery,foundational_weight,priority_score,reason
11,SK059,Organization of Ideas,Writing,Intermediate,64.9,0.75,26.3,"Predicted 65% on untested intermediate writing skill; Blended k-NN (70%) and related-skill propagation (52%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
12,SK017,Evaluate Counterarguments,Reading,Advanced,44.7,0.45,24.9,"Predicted 45% on untested advanced reading skill; Blended k-NN (39%) and related-skill propagation (58%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
13,SK042,Idiom and Preposition Usage,Grammar,Advanced,45.3,0.45,24.6,"Predicted 45% on untested advanced grammar skill; Blended k-NN (36%) and related-skill propagation (67%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
14,SK047,Determine Word Meaning from Context,Vocabulary,Basic,77.8,1.0,22.2,"Predicted 78% on untested basic vocabulary skill; Blended k-NN (83%) and related-skill propagation (67%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
15,SK041,Dangling and Misplaced Modifiers,Grammar,Intermediate,71.3,0.75,21.5,"Predicted 71% on untested intermediate grammar skill; Blended k-NN (78%) and related-skill propagation (57%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
16,SK014,Synthesize Multi-Paragraph Ideas,Reading,Advanced,58.9,0.45,18.5,"Predicted 59% on untested advanced reading skill; Blended k-NN (57%) and related-skill propagation (62%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
17,SK010,Predict Author Response,Reading,Intermediate,77.0,0.75,17.2,"Predicted 77% on untested intermediate reading skill; Blended k-NN (88%) and related-skill propagation (52%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
18,SK064,Style and Formality,Writing,Advanced,63.1,0.45,16.6,"Predicted 63% on untested advanced writing skill; Blended k-NN (65%) and related-skill propagation (59%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
19,SK072,Synthesize Rhetorical Analysis,Rhetoric,Advanced,64.6,0.45,15.9,"Predicted 65% on untested advanced rhetoric skill; Blended k-NN (67%) and related-skill propagation (60%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
20,SK030,Evaluate Statistical Claims in Passages,Evidence,Advanced,65.6,0.45,15.5,"Predicted 66% on untested advanced evidence skill; Blended k-NN (66%) and related-skill propagation (64%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
21,SK018,Integrate Complex Passage Themes,Reading,Advanced,65.6,0.45,15.5,"Predicted 66% on untested advanced reading skill; Blended k-NN (67%) and related-skill propagation (62%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
22,SK056,Sentence Combination,Writing,Basic,84.8,1.0,15.2,"Predicted 85% on untested basic writing skill; Blended k-NN (93%) and related-skill propagation (66%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
23,SK011,Interpret Figurative Language,Reading,Intermediate,79.9,0.75,15.1,"Predicted 80% on untested intermediate reading skill; Blended k-NN (91%) and related-skill propagation (53%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
24,SK027,Strengthen Arguments with Evidence,Evidence,Advanced,66.4,0.45,15.1,"Predicted 66% on untested advanced evidence skill; Blended k-NN (69%) and related-skill propagation (60%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
25,SK019,Identify Textual Evidence,Evidence,Basic,84.9,1.0,15.1,"Predicted 85% on untested basic evidence skill; Blended k-NN (96%) and related-skill propagation (60%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
26,SK043,Comparative and Superlative Forms,Grammar,Advanced,66.7,0.45,15.0,"Predicted 67% on untested advanced grammar skill; Blended k-NN (66%) and related-skill propagation (67%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
27,SK053,Tone-Shifting Vocabulary,Vocabulary,Advanced,67.9,0.45,14.4,"Predicted 68% on untested advanced vocabulary skill; Blended k-NN (67%) and related-skill propagation (70%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
28,SK044,Subjunctive Mood,Grammar,Advanced,68.9,0.45,14.0,"Predicted 69% on untested advanced grammar skill; Blended k-NN (70%) and related-skill propagation (67%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
29,SK069,Analyze Structure and Function,Rhetoric,Intermediate,81.5,0.75,13.9,"Predicted 82% on untested intermediate rhetoric skill; Blended k-NN (97%) and related-skill propagation (45%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
30,SK024,Interpret Charts in Context,Evidence,Intermediate,83.4,0.75,12.5,"Predicted 83% on untested intermediate evidence skill; Blended k-NN (97%) and related-skill propagation (52%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
31,SK009,Resolve Conflicting Information,Reading,Intermediate,84.0,0.75,12.0,"Predicted 84% on untested intermediate reading skill; Blended k-NN (97%) and related-skill propagation (53%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
32,SK015,Identify Assumptions,Reading,Advanced,86.9,0.45,5.9,"Predicted 87% on untested advanced reading skill; Blended k-NN (99%) and related-skill propagation (58%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
