rank,skill_id,skill_name,category,level,predicted_mastery,foundational_weight,priority_score,reason
14,SK019,Identify Textual Evidence,Evidence,Basic,80.0,1.0,20.0,"Predicted 80% on untested basic evidence skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
15,SK034,Sentence Boundaries (Fragments/Run-ons),Grammar,Basic,80.2,1.0,19.8,"Predicted 80% on untested basic grammar skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
16,SK060,Effective Introductions,Writing,Intermediate,75.6,0.75,18.3,"Predicted 76% on untested intermediate writing skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
17,SK061,Effective Conclusions,Writing,Intermediate,75.8,0.75,18.1,"Predicted 76% on untested intermediate writing skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
18,SK056,Sentence Combination,Writing,Basic,82.1,1.0,17.9,"Predicted 82% on untested basic writing skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
19,SK026,Identify Evidence Gaps,Evidence,Intermediate,77.7,0.75,16.7,"Predicted 78% on untested intermediate evidence skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
20,SK010,Predict Author Response,Reading,Intermediate,80.0,0.75,15.0,"Predicted 80% on untested intermediate reading skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
21,SK051,Domain-Specific Vocabulary,Vocabulary,Intermediate,80.0,0.75,15.0,"Predicted 80% on untested intermediate vocabulary skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
22,SK062,Development with Supporting Details,Writing,Intermediate,80.0,0.75,15.0,"Predicted 80% on untested intermediate writing skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
23,SK052,Multiple-Meaning Words,Vocabulary,Intermediate,82.4,0.75,13.2,"Predicted 82% on untested intermediate vocabulary skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
24,SK055,Nuanced Synonym Selection,Vocabulary,Advanced,71.0,0.45,13.0,"Predicted 71% on untested advanced vocabulary skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
25,SK053,Tone-Shifting Vocabulary,Vocabulary,Advanced,73.5,0.45,11.9,"Predicted 74% on untested advanced vocabulary skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
26,SK023,Compare Quantitative and Textual Data,Evidence,Intermediate,86.6,0.75,10.1,"Predicted 87% on untested intermediate evidence skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
27,SK015,Identify Assumptions,Reading,Advanced,77.8,0.45,10.0,"Predicted 78% on untested advanced reading skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
28,SK071,Evaluate Audience Awareness,Rhetoric,Advanced,77.9,0.45,9.9,"Predicted 78% on untested advanced rhetoric skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
29,SK018,Integrate Complex Passage Themes,Reading,Advanced,82.2,0.45,8.0,"Predicted 82% on untested advanced reading skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
